school,district,state
long hill school,shelton school district,connecticut
mohegan school,shelton school district,connecticut
perry hill elementary school,shelton school district,connecticut
sunnyside school,shelton school district,connecticut
sherman school,sherman school district,connecticut
side by side charter school,side by side charter school district,connecticut
central school,simsbury school district,connecticut
henry james memorial school,simsbury school district,connecticut
latimer lane school,simsbury school district,connecticut
squadron line school,simsbury school district,connecticut
tariffville school,simsbury school district,connecticut
tootin' hills school,simsbury school district,connecticut
mabelle b. avery middle school,somers school district,connecticut
somers elementary school,somers school district,connecticut
eli terry school,south windsor school district,connecticut
orchard hill school,south windsor school district,connecticut
philip r. smith school,south windsor school district,connecticut
pleasant valley school,south windsor school district,connecticut
timothy edwards school,south windsor school district,connecticut
derynoski elementary school,southington school district,connecticut
flanders elementary school,southington school district,connecticut
hatton elementary school,southington school district,connecticut
john f. kennedy middle school,southington school district,connecticut
joseph a. depaolo middle school,southington school district,connecticut
oshana elementary school,southington school district,connecticut
south end elementary school,southington school district,connecticut
strong elementary school,southington school district,connecticut
thalberg elementary school,southington school district,connecticut
urbin t. kelley school,southington school district,connecticut
sayles school,sprague school district,connecticut
stafford elementary school,stafford school district,connecticut
stafford middle school,stafford school district,connecticut
stamford charter school for excellence,stamford charter school for excellence district,connecticut
cloonan school,stamford school district,connecticut
davenport ridge school,stamford school district,connecticut
dolan school,stamford school district,connecticut
hart school,stamford school district,connecticut
julia a. stark school,stamford school district,connecticut
k. t. murphy school,stamford school district,connecticut
newfield school,stamford school district,connecticut
northeast school,stamford school district,connecticut
rippowam middle school,stamford school district,connecticut
rogers international school,stamford school district,connecticut
roxbury school,stamford school district,connecticut
scofield middle school,stamford school district,connecticut
springdale school,stamford school district,connecticut
stillmeadow school,stamford school district,connecticut
strawberry hill an ext. of rogers international,stamford school district,connecticut
toquam magnet school,stamford school district,connecticut
turn of river school,stamford school district,connecticut
westover school,stamford school district,connecticut
sterling community school,sterling school district,connecticut
deans mill school,stonington school district,connecticut
stonington middle school,stonington school district,connecticut
west vine street school,stonington school district,connecticut
chapel school,stratford school district,connecticut
david wooster middle school,stratford school district,connecticut
eli whitney school,stratford school district,connecticut
franklin school,stratford school district,connecticut
harry b. flood middle school,stratford school district,connecticut
lordship school,stratford school district,connecticut
nichols school,stratford school district,connecticut
second hill lane school,stratford school district,connecticut
stratford academy - johnson house,stratford school district,connecticut
wilcoxson school,stratford school district,connecticut
mcalister intermediate school,suffield school district,connecticut
suffield middle school,suffield school district,connecticut
