,0
1218,ps 200 james mccune smith school (the)
1219,urban assembly academy for future leaders
1220,knowledge and power prep academy iv
1221,thurgood marshall academy lower school
1222,new design middle school
1223,teachers college community school
1224,eagle academy for young men of harlem
1225,columbia secondary school
1226,frederick douglass academy
1227,thurgood marshall academy for learning & social change
1228,harlem village academy charter school
1229,kipp success through teamwork achieve & respon col prep charter sch
1230,new york city geographic district # 6
1231,ps 4 duke ellington
1232,ps 5 ellen lurie
1233,ps 8 luis belliard
1234,ps 18 park terrace
1235,ps 28 wright brothers
1236,ps 48 po michael j buczek
1237,jhs 52 inwood
