District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Berlin School District,0070011,Mary E. Griswold School,0070511,3,ELA,87,87,100,87,15,17.2,13,14.9,25,28.7,34,39.1,59,67.8,2463
Berlin School District,0070011,Mary E. Griswold School,0070511,3,Math,87,87,100,87,7,8,11,12.6,28,32.2,41,47.1,69,79.3,2485
Berlin School District,0070011,Mary E. Griswold School,0070511,4,ELA,76,71,93.4,71,12,16.9,16,22.5,18,25.4,25,35.2,43,60.6,2495
Berlin School District,0070011,Mary E. Griswold School,0070511,4,Math,76,71,93.4,71,*,*,19,26.8,29,40.8,*,*,*,*,2501
Berlin School District,0070011,Mary E. Griswold School,0070511,5,ELA,93,92,98.9,92,9,9.8,12,13,30,32.6,41,44.6,71,77.2,2556
Berlin School District,0070011,Mary E. Griswold School,0070511,5,Math,93,92,98.9,92,12,13,28,30.4,16,17.4,36,39.1,52,56.5,2544
Berlin School District,0070011,Richard D. Hubbard School,0070111,3,ELA,23,22,95.7,22,*,*,*,*,*,*,8,36.4,*,*,2451
Berlin School District,0070011,Richard D. Hubbard School,0070111,3,Math,23,22,95.7,22,6,27.3,*,*,10,45.5,*,*,*,*,2448
Berlin School District,0070011,Richard D. Hubbard School,0070111,4,ELA,46,46,100,46,9,19.6,7,15.2,12,26.1,18,39.1,30,65.2,2501
Berlin School District,0070011,Richard D. Hubbard School,0070111,4,Math,46,46,100,46,*,*,*,*,14,30.4,16,34.8,30,65.2,2506
Berlin School District,0070011,Richard D. Hubbard School,0070111,5,ELA,38,38,100,38,*,*,*,*,16,42.1,14,36.8,30,78.9,2552
Berlin School District,0070011,Richard D. Hubbard School,0070111,5,Math,38,38,100,36,*,*,*,*,13,36.1,17,47.2,30,83.3,2577
Bethany School District,0080011,Bethany Community School,0080111,3,ELA,39,39,100,39,*,*,*,*,14,35.9,12,30.8,26,66.7,2458
Bethany School District,0080011,Bethany Community School,0080111,3,Math,39,39,100,39,10,25.6,*,*,17,43.6,*,*,*,*,2444
Bethany School District,0080011,Bethany Community School,0080111,4,ELA,59,54,91.5,54,*,*,*,*,21,38.9,22,40.7,43,79.6,2524
Bethany School District,0080011,Bethany Community School,0080111,4,Math,59,54,91.5,54,*,*,*,*,22,40.7,15,27.8,37,68.5,2515
Bethany School District,0080011,Bethany Community School,0080111,5,ELA,62,61,98.4,61,8,13.1,12,19.7,22,36.1,19,31.1,41,67.2,2535
Bethany School District,0080011,Bethany Community School,0080111,5,Math,62,61,98.4,61,9,14.8,19,31.1,14,23,19,31.1,33,54.1,2539
Bethany School District,0080011,Bethany Community School,0080111,6,ELA,57,55,96.5,55,*,*,*,*,22,40,19,34.5,41,74.5,2578
Bethany School District,0080011,Bethany Community School,0080111,6,Math,57,55,96.5,55,*,*,*,*,20,36.4,15,27.3,35,63.6,2570
Bethel School District,0090011,Anna H. Rockwell School,0090411,3,ELA,110,110,100,110,7,6.4,18,16.4,37,33.6,48,43.6,85,77.3,2485
Bethel School District,0090011,Anna H. Rockwell School,0090411,3,Math,110,110,100,110,13,11.8,22,20,37,33.6,38,34.5,75,68.2,2473
Bethel School District,0090011,Bethel Middle School,0095111,6,ELA,226,222,98.2,222,22,9.9,46,20.7,95,42.8,59,26.6,154,69.4,2569
Bethel School District,0090011,Bethel Middle School,0095111,6,Math,226,222,98.2,222,19,8.6,76,34.2,75,33.8,52,23.4,127,57.2,2565
Bethel School District,0090011,Bethel Middle School,0095111,7,ELA,232,229,98.7,229,33,14.4,40,17.5,102,44.5,54,23.6,156,68.1,2579
Bethel School District,0090011,Bethel Middle School,0095111,7,Math,232,228,98.3,228,43,18.9,46,20.2,66,28.9,73,32,139,61,2578
Bethel School District,0090011,Bethel Middle School,0095111,8,ELA,199,195,98,195,18,9.2,31,15.9,86,44.1,60,30.8,146,74.9,2618
Bethel School District,0090011,Bethel Middle School,0095111,8,Math,199,196,98.5,196,23,11.7,51,26,47,24,75,38.3,122,62.2,2617
Bethel School District,0090011,Frank A. Berry School,0090111,3,ELA,107,107,100,107,12,11.2,17,15.9,26,24.3,52,48.6,78,72.9,2477
Bethel School District,0090011,Frank A. Berry School,0090111,3,Math,107,107,100,107,16,15,24,22.4,25,23.4,42,39.3,67,62.6,2463
